STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA BODRUM METEOROLOJI MUDURLUGU
EARTHQUAKE DATE         : 2017/07/24 06:59:25 (GMT)
EPICENTER COORDINATES   : 36.94630N-27.58850E
EARTHQUAKE DEPTH (km)   : 10.69
EARTHQUAKE MAGNITUDE    : 3.0 ML
STATION ID              : 4809
STATION COORDINATES     : 37.03304N-27.43997E
STATION ALTITUDE (m)    : 25
RECORDER TYPE           : Guralp cmg5td
RECORDER SERIAL NO      : T5J71/A1167
RECORD TIME             : 24/07/2017 06:59:25.000000 (GMT)
NUMBER OF DATA          : 2333
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 0.669047 (E-W) 0.516467 (U-D) 0.437384
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
   -0.000174      0.000271    -0.000061
   -0.000200      0.000248    -0.000087
   -0.000153      0.000289    -0.000040
   -0.000198      0.000248    -0.000086
   -0.000154      0.000290    -0.000039
   -0.000196      0.000246    -0.000085
   -0.000154      0.000291    -0.000039
   -0.000195      0.000244    -0.000085
   -0.000155      0.000292    -0.000039
   -0.000194      0.000243    -0.000085
   -0.000156      0.000293    -0.000039
   -0.000192      0.000241    -0.000085
   -0.000156      0.000293    -0.000038
   -0.000191      0.000240    -0.000085
   -0.000157      0.000294    -0.000038
   -0.000190      0.000238    -0.000085
   -0.000158      0.000295    -0.000038
   -0.000188      0.000236    -0.000085
   -0.000158      0.000296    -0.000038
   -0.000187      0.000235    -0.000085
   -0.000159      0.000296    -0.000038
   -0.000186      0.000233    -0.000085
   -0.000160      0.000297    -0.000037
   -0.000184      0.000231    -0.000085
   -0.000160      0.000298    -0.000037
   -0.000183      0.000230    -0.000085
   -0.000161      0.000299    -0.000037
   -0.000182      0.000228    -0.000085
   -0.000162      0.000300    -0.000037
   -0.000180      0.000226    -0.000085
   -0.000162      0.000300    -0.000037
   -0.000179      0.000225    -0.000085
   -0.000163      0.000301    -0.000036
   -0.000178      0.000223    -0.000085
   -0.000164      0.000302    -0.000036
   -0.000176      0.000221    -0.000085
   -0.000165      0.000303    -0.000036
   -0.000175      0.000219    -0.000085
   -0.000165      0.000304    -0.000036
   -0.000174      0.000218    -0.000085
   -0.000166      0.000305    -0.000035
   -0.000172      0.000216    -0.000085
   -0.000167      0.000306    -0.000035
   -0.000171      0.000214    -0.000085
   -0.000168      0.000307    -0.000035
   -0.000170      0.000212    -0.000085
   -0.000168      0.000308    -0.000035
   -0.000168      0.000210    -0.000085
   -0.000169      0.000309    -0.000034
   -0.000167      0.000208    -0.000086
   -0.000170      0.000310    -0.000034
   -0.000165      0.000206    -0.000086
   -0.000171      0.000311    -0.000034
   -0.000164      0.000205    -0.000086
   -0.000171      0.000312    -0.000034
   -0.000163      0.000203    -0.000086
   -0.000172      0.000313    -0.000033
   -0.000161      0.000201    -0.000086
