STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA SELIMIYE ORMAN ISLETME SEFLIGI
EARTHQUAKE DATE         : 2017/07/24 06:59:25 (GMT)
EPICENTER COORDINATES   : 36.94630N-27.58850E
EARTHQUAKE DEPTH (km)   : 10.69
EARTHQUAKE MAGNITUDE    : 3.0 ML
STATION ID              : 4814
STATION COORDINATES     : 37.39910N-27.65670E
STATION ALTITUDE (m)    : 63
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 53831/101902
RECORD TIME             : 24/07/2017 06:59:22.000000 (GMT)
NUMBER OF DATA          : 5938
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 0.246883 (E-W) 0.301457 (U-D) 0.156186
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
   -0.001559      0.004678     0.001819
    0.003638     -0.014813     0.000520
    0.015593      0.009615    -0.010655
   -0.003898     -0.011435     0.007017
   -0.014813     -0.014033    -0.004158
    0.012474      0.003119    -0.001559
    0.009096     -0.008316    -0.000260
    0.003378      0.003378    -0.006757
    0.013254     -0.007017    -0.001559
   -0.008836     -0.014293    -0.002599
   -0.014553      0.030665     0.004678
    0.005457      0.042100     0.001299
   -0.012214      0.008056    -0.001559
   -0.018451      0.024428     0.004158
    0.006237      0.015852     0.002079
   -0.001819      0.009615    -0.000780
   -0.009615      0.039761    -0.003638
    0.000780      0.011694     0.004418
   -0.016632      0.021570    -0.001299
   -0.012734      0.014293    -0.001559
    0.016372      0.003378     0.003119
    0.004418      0.008576    -0.008836
   -0.007017     -0.012994     0.001040
   -0.000520      0.019491     0.006497
   -0.002339     -0.003898    -0.002599
   -0.007017      0.001819    -0.002859
    0.002599      0.015073    -0.002599
    0.007536     -0.009356    -0.008316
   -0.010915      0.031445     0.004678
   -0.014033      0.020011     0.006237
   -0.008576      0.022090    -0.001559
    0.003378      0.015593    -0.001040
    0.007536     -0.003378    -0.006757
   -0.001559      0.009875     0.009096
   -0.002079     -0.005198    -0.007796
   -0.006757      0.013514    -0.002079
    0.005198      0.008836     0.007277
   -0.001299     -0.000780    -0.020270
   -0.004938      0.001040     0.012474
    0.010135      0.007536     0.003119
   -0.013254      0.020790    -0.012994
   -0.010135      0.006497     0.007277
    0.003119      0.014553    -0.006497
   -0.006757      0.001559     0.000520
    0.009096      0.000520    -0.001819
    0.009615      0.012474    -0.000520
   -0.018711     -0.010395     0.002599
   -0.003119      0.003119    -0.009615
    0.013514      0.015073     0.005457
   -0.012214      0.000260    -0.005457
    0.002339     -0.000520    -0.001559
    0.004418      0.002859     0.005198
   -0.007017      0.007277    -0.011694
    0.003638      0.000520     0.002339
   -0.003119      0.004938    -0.004678
    0.011175      0.008576    -0.001299
   -0.006237     -0.006237     0.006237
   -0.014033     -0.002339    -0.007796
    0.017412     -0.000780    -0.003119
    0.006237     -0.019231    -0.005977
    0.003638     -0.012994    -0.004418
    0.003638      0.005457     0.000260
   -0.000520     -0.027287    -0.001299
   -0.002079     -0.009356    -0.004418
    0.007017      0.004678    -0.006497
    0.025208     -0.022349    -0.003378
   -0.006497      0.009356     0.000780
   -0.004938     -0.016632     0.001819
    0.004678     -0.020790    -0.009615
   -0.005717     -0.008576     0.001040
    0.020530     -0.007017     0.000000
    0.012994      0.014293    -0.010135
    0.006757     -0.028846     0.000000
   -0.012474     -0.012474    -0.004678
   -0.013514      0.003378     0.007277
    0.019231     -0.020790    -0.009356
    0.015593     -0.006497    -0.014033
    0.010395     -0.005457     0.014813
   -0.012734     -0.005457    -0.008836
   -0.002859     -0.008836    -0.010135
    0.009615      0.000520     0.004418
    0.002599      0.015073     0.004938
    0.000000     -0.002339    -0.001559
   -0.012734     -0.003638    -0.012994
