STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA BOZBURUN ILKOGRETIM OKULU
EARTHQUAKE DATE         : 2017/07/24 06:59:25 (GMT)
EPICENTER COORDINATES   : 36.94630N-27.58850E
EARTHQUAKE DEPTH (km)   : 10.69
EARTHQUAKE MAGNITUDE    : 3.0 ML
STATION ID              : 4815
STATION COORDINATES     : 36.68860N-28.04600E
STATION ALTITUDE (m)    : 10
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 53997/101909
RECORD TIME             : 24/07/2017 06:59:27.000000 (GMT)
NUMBER OF DATA          : 5374
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 0.503382 (E-W) 0.349015 (U-D) 0.134876
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
   -0.035343     -0.031705     0.010915
    0.018711      0.015333    -0.000780
    0.041840      0.037422    -0.002079
    0.013773      0.029106     0.019231
   -0.017932      0.016892     0.003119
   -0.034564     -0.035863    -0.023389
   -0.021050     -0.057953    -0.011694
    0.009615      0.003638     0.017672
    0.041840      0.028846    -0.004418
    0.015593      0.047817     0.009096
   -0.034044      0.019491     0.010395
   -0.020270     -0.042880    -0.011954
    0.006237     -0.030925    -0.010655
    0.001299     -0.034044    -0.023649
    0.008056      0.029106     0.028327
    0.018971      0.064449     0.011694
   -0.005717     -0.019751    -0.020530
   -0.029366     -0.040281     0.005977
    0.000260      0.010395    -0.003898
    0.016112      0.049377     0.015593
    0.009356      0.008056    -0.007277
    0.002079     -0.034044    -0.008836
   -0.030925     -0.033264     0.006237
   -0.002339     -0.004418    -0.011435
    0.014813      0.025208     0.002599
   -0.003119      0.004418    -0.002079
    0.015852      0.018451     0.022869
   -0.004418      0.023389     0.003119
   -0.010655      0.003119    -0.023909
   -0.002599     -0.036123     0.004158
   -0.009096     -0.045738    -0.011954
    0.013773      0.012994     0.004158
    0.015852      0.004678     0.001819
   -0.001559      0.027027     0.000000
   -0.020790      0.025468     0.016892
   -0.005717     -0.014553    -0.015852
    0.010395     -0.004418    -0.007796
   -0.009096     -0.035863     0.003638
    0.025468      0.022609     0.009096
    0.012214      0.050936     0.000000
   -0.031445     -0.015073    -0.011175
   -0.006497     -0.027287     0.001040
   -0.008836     -0.032485    -0.014553
    0.016632     -0.011694     0.002339
    0.034044      0.020530     0.012474
   -0.015852      0.062630     0.008056
   -0.031445      0.020790     0.004418
    0.004418     -0.053535    -0.021830
    0.028327     -0.007536     0.002079
   -0.011954      0.000780     0.012994
   -0.008316     -0.007017    -0.012994
    0.020530      0.005198    -0.008056
   -0.013254     -0.019751     0.006237
   -0.009356      0.000780     0.001819
    0.005457      0.056653     0.001299
    0.010135      0.043140     0.015852
    0.006757     -0.051975    -0.012474
   -0.008576     -0.055874    -0.021830
