STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA GULLUK ITFAIYE
EARTHQUAKE DATE         : 2017/07/24 06:59:25 (GMT)
EPICENTER COORDINATES   : 36.94630N-27.58850E
EARTHQUAKE DEPTH (km)   : 10.69
EARTHQUAKE MAGNITUDE    : 3.0 ML
STATION ID              : 4817
STATION COORDINATES     : 37.24010N-27.60310E
STATION ALTITUDE (m)    : 10
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 53975/101911
RECORD TIME             : 24/07/2017 06:59:22.000000 (GMT)
NUMBER OF DATA          : 5998
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 0.581345 (E-W) 0.530409 (U-D) 0.343298
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.001559     -0.001040    -0.000780
   -0.002859      0.000260    -0.006497
   -0.000260      0.000260    -0.000260
   -0.000260     -0.003898     0.001819
    0.001819      0.001819    -0.000260
    0.001819      0.004418    -0.009615
   -0.001819      0.002339    -0.015593
   -0.001819      0.000000    -0.000520
    0.002079     -0.006497     0.001299
   -0.002079     -0.001299     0.002859
   -0.004158     -0.001040    -0.002079
    0.004418      0.001559    -0.005198
    0.003898      0.009356    -0.006757
    0.001819      0.001299    -0.016112
   -0.002339     -0.003378    -0.006497
   -0.003898     -0.005457     0.002079
    0.000000     -0.002859     0.012474
    0.002599      0.005977     0.006237
    0.004938      0.004678    -0.016632
   -0.003119      0.001559    -0.017672
   -0.004158      0.000260    -0.012734
    0.002859     -0.005457     0.000780
    0.004158     -0.004158     0.012734
    0.000260      0.003638     0.005717
   -0.001819      0.004678    -0.009096
   -0.002079      0.003119    -0.015073
   -0.000520     -0.001299    -0.006497
    0.004418     -0.002599    -0.001819
   -0.000260      0.002079    -0.001819
   -0.003119     -0.001040    -0.000520
   -0.001819     -0.004158     0.001040
    0.000260     -0.001040    -0.000520
    0.004158      0.002859    -0.009096
    0.004678      0.002339    -0.010395
    0.001819     -0.000780    -0.004678
   -0.005717     -0.004158    -0.000780
   -0.007536     -0.003119     0.003898
   -0.004678      0.004938    -0.002339
    0.008576      0.003119    -0.004678
    0.010655     -0.002339    -0.003119
   -0.004418      0.003378    -0.014293
   -0.004158      0.002599    -0.010395
    0.000780     -0.004938     0.005977
