STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA OREN BELEDIYE
EARTHQUAKE DATE         : 2017/07/24 06:59:25 (GMT)
EPICENTER COORDINATES   : 36.94630N-27.58850E
EARTHQUAKE DEPTH (km)   : 10.69
EARTHQUAKE MAGNITUDE    : 3.0 ML
STATION ID              : 4819
STATION COORDINATES     : 37.03130N-27.97120E
STATION ALTITUDE (m)    : 10
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 53977/101913
RECORD TIME             : 24/07/2017 06:59:24.000000 (GMT)
NUMBER OF DATA          : 5526
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 0.991951 (E-W) 1.205569 (U-D) 0.840702
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.008316      0.015333     0.000260
   -0.006497      0.013773    -0.015073
   -0.006237     -0.007796    -0.004158
    0.000520     -0.019231    -0.001819
    0.005457     -0.008576    -0.008576
    0.001299     -0.017672     0.008056
   -0.009615      0.025468     0.002599
    0.011694     -0.002859     0.007796
   -0.012474     -0.005457     0.009356
    0.008316      0.004678     0.007277
   -0.004678     -0.007536     0.013514
   -0.012734      0.013514    -0.004418
    0.014293     -0.011435     0.003119
    0.005717      0.007017    -0.008056
    0.004158      0.002859    -0.023649
   -0.020011     -0.003378    -0.003119
   -0.003638      0.001040     0.007536
   -0.013773      0.008836    -0.002859
   -0.005717      0.003638    -0.007017
    0.005457     -0.010655     0.005717
    0.000260      0.014813     0.005977
    0.012214      0.000260     0.008576
   -0.005457      0.003119     0.009096
    0.007796     -0.010655     0.001559
   -0.008316      0.004938    -0.003378
    0.004678      0.005457     0.000260
    0.001040     -0.016372     0.004678
   -0.008316      0.003638     0.000260
    0.012734     -0.010395     0.004678
   -0.010655      0.020270    -0.000780
   -0.003898      0.005977    -0.006497
   -0.004418     -0.030146     0.017672
    0.008836     -0.002599     0.018451
    0.003898      0.018971    -0.022349
   -0.002599     -0.003378    -0.026767
   -0.000260     -0.008576    -0.012994
   -0.011954     -0.003119    -0.004418
    0.003638     -0.019491     0.031705
    0.000000      0.029626     0.021310
    0.008316      0.012994    -0.014553
    0.004938     -0.017152    -0.012734
    0.011175     -0.005977    -0.012734
   -0.004158     -0.008576    -0.003119
   -0.009615      0.011435     0.005977
    0.004938      0.000780     0.006757
   -0.015852     -0.002599     0.006757
    0.001559     -0.018451     0.005457
   -0.015333      0.003378     0.013254
    0.002599      0.016372     0.009615
    0.013254     -0.007536     0.000520
   -0.009096      0.000520    -0.003898
    0.003378     -0.004418    -0.007277
   -0.004678      0.003378     0.000780
    0.006757     -0.002079     0.014553
    0.003638      0.011954     0.000780
    0.009615     -0.011694    -0.011954
   -0.011694     -0.012474    -0.008576
   -0.015333      0.014553    -0.006237
   -0.005198     -0.011175     0.012214
   -0.008836      0.014033     0.014293
    0.025468     -0.002599     0.001559
    0.008056     -0.003638    -0.011954
    0.004938      0.000520    -0.016112
   -0.011175     -0.008056    -0.010395
   -0.010915      0.001299    -0.001559
   -0.001819     -0.005717     0.005977
   -0.003638      0.014553    -0.004418
    0.016112     -0.010915     0.004678
    0.002079     -0.002339     0.001819
    0.012214     -0.003898    -0.003898
   -0.009875     -0.005717     0.009096
   -0.002859      0.011435     0.010395
