STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA ULA HUKUMET KONAGI
EARTHQUAKE DATE         : 2017/07/24 06:59:25 (GMT)
EPICENTER COORDINATES   : 36.94630N-27.58850E
EARTHQUAKE DEPTH (km)   : 10.69
EARTHQUAKE MAGNITUDE    : 3.0 ML
STATION ID              : 4821
STATION COORDINATES     : 37.10550N-28.41390E
STATION ALTITUDE (m)    : 615
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 53979/101915
RECORD TIME             : 24/07/2017 06:59:22.000000 (GMT)
NUMBER OF DATA          : 5765
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 0.129938 (E-W) 0.119803 (U-D) 0.12578
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.003119     -0.003638     0.002859
   -0.000780      0.006757     0.012994
   -0.022090     -0.005198    -0.007017
    0.007536     -0.012214     0.002079
    0.029886      0.003119     0.001040
   -0.023129      0.006237    -0.009096
   -0.007536      0.001559    -0.028586
    0.004158      0.010915    -0.048077
    0.020011     -0.006237    -0.019231
   -0.000780     -0.002079     0.007017
   -0.027027     -0.007536    -0.002079
   -0.010915     -0.014813     0.008836
    0.005457      0.010135     0.021830
    0.007796     -0.002599     0.027807
   -0.003378     -0.009096     0.008576
    0.005717     -0.018191    -0.006497
    0.002599     -0.001559     0.010915
   -0.002599      0.012734     0.011954
   -0.034044     -0.008056     0.021050
   -0.029886      0.002599     0.003638
   -0.006497     -0.011954    -0.030146
    0.001040     -0.003898    -0.030406
    0.011435      0.012474    -0.017932
    0.000260      0.007536     0.007536
    0.026767      0.006757     0.011694
    0.006237     -0.001559     0.009875
   -0.018451      0.001819     0.006497
   -0.004418     -0.000780    -0.022609
    0.000520     -0.010655    -0.036643
    0.013254     -0.017932    -0.035343
    0.018191      0.022090     0.011694
    0.015852      0.027547     0.055614
   -0.017412     -0.001040     0.000520
    0.001040     -0.000780    -0.025468
    0.009356     -0.021310    -0.009615
   -0.016892      0.001819    -0.034564
   -0.008576      0.004158    -0.016632
   -0.002079     -0.005977     0.010915
    0.024948      0.025728     0.021570
   -0.006757     -0.003378     0.031705
   -0.022349     -0.017672     0.001299
    0.004418     -0.010655    -0.011175
   -0.010395     -0.007277    -0.009356
    0.001299      0.017672     0.000780
    0.010135     -0.001819    -0.007277
   -0.002339     -0.014813    -0.051716
   -0.002599     -0.003119    -0.037422
    0.006757      0.009615     0.007796
   -0.007277      0.013773     0.019231
   -0.003638     -0.010395     0.008836
    0.005198      0.003119     0.028327
   -0.003378      0.019491     0.020790
   -0.002079     -0.007277    -0.040541
   -0.010395     -0.020011    -0.058212
    0.001819     -0.003898    -0.038462
    0.014813      0.020270     0.008576
    0.019491      0.027807     0.048077
   -0.002599      0.011435     0.036123
   -0.009096     -0.004418     0.005198
    0.008576     -0.022090    -0.006237
   -0.004418     -0.022869    -0.004938
